Claim_ID,Manuscript_location,Value,Source_file,Exact_row_or_selector,Calculation,Script,Recomputed_value,Match?,Status
N01,Methods/Figure 1,597.0,audit/data_audit.json,meta_rows,Direct selector re-read from frozen output,scripts/build_final_release.py,597.0,YES,VERIFIED
N02,Methods/Figure 1,52.0,audit/data_audit.json,studies,Direct selector re-read from frozen output,scripts/build_final_release.py,52.0,YES,VERIFIED
N03,Methods/Figure 1,595.0,runs/final_robustness/design_summary.json,original_n,Direct selector re-read from frozen output,scripts/build_final_release.py,595.0,YES,VERIFIED
N04,Methods/Figure 1,51.0,runs/final_robustness/design_summary.json,original_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
N05,Methods/Figure 1,2.0,runs/final_robustness/design_summary.json,temporal_reserved_n,Direct selector re-read from frozen output,scripts/build_final_release.py,2.0,YES,VERIFIED
N06,Methods/Figure 1,590.0,runs/final_robustness/design_summary.json,clean_n,Direct selector re-read from frozen output,scripts/build_final_release.py,590.0,YES,VERIFIED
N07,Methods/Figure 1,49.0,runs/final_robustness/design_summary.json,clean_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,49.0,YES,VERIFIED
TAPOE_n,Table 1,595.0,manuscript_audit/cohort_targets.csv,target=APOE; n,Direct selector re-read from frozen output,scripts/build_final_release.py,595.0,YES,VERIFIED
TAPOE_positive,Table 1,549.0,manuscript_audit/cohort_targets.csv,target=APOE; positive,Direct selector re-read from frozen output,scripts/build_final_release.py,549.0,YES,VERIFIED
TAPOE_negative,Table 1,46.0,manuscript_audit/cohort_targets.csv,target=APOE; negative,Direct selector re-read from frozen output,scripts/build_final_release.py,46.0,YES,VERIFIED
TAPOE_unknown,Table 1,0.0,manuscript_audit/cohort_targets.csv,target=APOE; unknown,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0,YES,VERIFIED
TAPOE_studies,Table 1,51.0,manuscript_audit/cohort_targets.csv,target=APOE; studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
TAPOB_n,Table 1,595.0,manuscript_audit/cohort_targets.csv,target=APOB; n,Direct selector re-read from frozen output,scripts/build_final_release.py,595.0,YES,VERIFIED
TAPOB_positive,Table 1,452.0,manuscript_audit/cohort_targets.csv,target=APOB; positive,Direct selector re-read from frozen output,scripts/build_final_release.py,452.0,YES,VERIFIED
TAPOB_negative,Table 1,143.0,manuscript_audit/cohort_targets.csv,target=APOB; negative,Direct selector re-read from frozen output,scripts/build_final_release.py,143.0,YES,VERIFIED
TAPOB_unknown,Table 1,0.0,manuscript_audit/cohort_targets.csv,target=APOB; unknown,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0,YES,VERIFIED
TAPOB_studies,Table 1,51.0,manuscript_audit/cohort_targets.csv,target=APOB; studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
TC3_n,Table 1,591.0,manuscript_audit/cohort_targets.csv,target=CO3; n,Direct selector re-read from frozen output,scripts/build_final_release.py,591.0,YES,VERIFIED
TC3_positive,Table 1,561.0,manuscript_audit/cohort_targets.csv,target=CO3; positive,Direct selector re-read from frozen output,scripts/build_final_release.py,561.0,YES,VERIFIED
TC3_negative,Table 1,30.0,manuscript_audit/cohort_targets.csv,target=CO3; negative,Direct selector re-read from frozen output,scripts/build_final_release.py,30.0,YES,VERIFIED
TC3_unknown,Table 1,4.0,manuscript_audit/cohort_targets.csv,target=CO3; unknown,Direct selector re-read from frozen output,scripts/build_final_release.py,4.0,YES,VERIFIED
TC3_studies,Table 1,50.0,manuscript_audit/cohort_targets.csv,target=CO3; studies,Direct selector re-read from frozen output,scripts/build_final_release.py,50.0,YES,VERIFIED
TCLUS_n,Table 1,595.0,manuscript_audit/cohort_targets.csv,target=CLUS; n,Direct selector re-read from frozen output,scripts/build_final_release.py,595.0,YES,VERIFIED
TCLUS_positive,Table 1,505.0,manuscript_audit/cohort_targets.csv,target=CLUS; positive,Direct selector re-read from frozen output,scripts/build_final_release.py,505.0,YES,VERIFIED
TCLUS_negative,Table 1,90.0,manuscript_audit/cohort_targets.csv,target=CLUS; negative,Direct selector re-read from frozen output,scripts/build_final_release.py,90.0,YES,VERIFIED
TCLUS_unknown,Table 1,0.0,manuscript_audit/cohort_targets.csv,target=CLUS; unknown,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0,YES,VERIFIED
TCLUS_studies,Table 1,51.0,manuscript_audit/cohort_targets.csv,target=CLUS; studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
M_RANDOM_LR,Table 2/Figure 2,0.1080473850283588,runs/confirmatory/bss_overall_macro.csv,regime=RANDOM; LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1080473850283588,YES,VERIFIED
M_RANDOM_RF,Table 2/Figure 2,0.1012915038663887,runs/confirmatory/bss_overall_macro.csv,regime=RANDOM; RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1012915038663887,YES,VERIFIED
M_RANDOM_PREVALENCE,Table 2/Figure 2,0.1186038208855103,runs/confirmatory/bss_overall_macro.csv,regime=RANDOM; PREVALENCE,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1186038208855103,YES,VERIFIED
M_RANDOM_BSS_LR,Table 2/Figure 2,0.0890058665761009,runs/confirmatory/bss_overall_macro.csv,regime=RANDOM; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0890058665761009,YES,VERIFIED
M_RANDOM_BSS_RF,Table 2/Figure 2,0.1459676163033009,runs/confirmatory/bss_overall_macro.csv,regime=RANDOM; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1459676163033009,YES,VERIFIED
M_GROUP_STUDY_LR,Table 2/Figure 2,0.1463251395521307,runs/confirmatory/bss_overall_macro.csv,regime=GROUP_STUDY; LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1463251395521307,YES,VERIFIED
