REF_ID,Exact_title,Authors,Journal,Year,DOI,URL,Claim_supported,Verified,Publisher_link,Notes
REF01,Biomolecular coronas provide the biological identity of nanosized materials,Marco P. Monopoli; Christoffer Åberg; Anna Salvati; Kenneth A. Dawson,Nature Nanotechnology,2012,10.1038/nnano.2012.207,https://doi.org/10.1038/nnano.2012.207,Biological identity of nanosized materials,YES,https://doi.org/10.1038/nnano.2012.207,Crossref metadata checked
REF02,Understanding the nanoparticle–protein corona using methods to quantify exchange rates and affinities of proteins for nanoparticles,Tommy Cedervall; Iseult Lynch; Stina Lindman; Tord Berggård; Eva Thulin; Hanna Nilsson; Kenneth A. Dawson; Sara Linse,Proceedings of the National Academy of Sciences,2007,10.1073/pnas.0608582104,https://doi.org/10.1073/pnas.0608582104,Protein-corona exchange and affinity quantification,YES,https://doi.org/10.1073/pnas.0608582104,Crossref metadata checked
REF03,Rapid formation of plasma protein corona critically affects nanoparticle pathophysiology,Stefan Tenzer; Dominic Docter; Jörg Kuharev; Anna Musyanovych; Verena Fetz; Rouven Hecht; Florian Schlenk; Dagmar Fischer; Klytaimnistra Kiouptsi; Christoph Reinhardt; Katharina Landfester; Hansjörg Schild; Michael Maskos; Shirley K. Knauer; Roland H. Stauber,Nature Nanotechnology,2013,10.1038/nnano.2013.181,https://doi.org/10.1038/nnano.2013.181,Plasma-corona formation and context dependence,YES,https://doi.org/10.1038/nnano.2013.181,Crossref metadata checked
REF04,Minimum information reporting in bio–nano experimental literature,Matthew Faria; Mattias Björnmalm; Kristofer J. Thurecht; Stephen J. Kent; Robert G. Parton; Maria Kavallaris; Angus P. R. Johnston; J. Justin Gooding; Simon R. Corrie; Ben J. Boyd; Pall Thordarson; Andrew K. Whittaker; Molly M. Stevens; Clive A. Prestidge; Christopher J. H. Porter; Wolfgang J. Parak; Thomas P. Davis; Edmund J. Crampin; Frank Caruso,Nature Nanotechnology,2018,10.1038/s41565-018-0246-4,https://doi.org/10.1038/s41565-018-0246-4,Minimum information reporting for bio-nano experiments,YES,https://doi.org/10.1038/s41565-018-0246-4,Crossref metadata checked
REF05,Meta-Analysis and Machine Learning Prediction of Protein Corona Composition across Nanoparticle Systems in Biological Media,Alexa Canchola; Keyuan Li; Kunpeng Chen; Alejandro Borboa-Pimentel; Catherine Chou; Roberto Dela Rama; Chi-Yun Chen; Xinyue Chen; Michael Strobel; Jim E. Riviere; Nancy A. Monteiro-Riviere; Mingxun Wang; Fan Zhang; Zhoumeng Lin; Wei-Chun Chou,ACS Nano,2025,10.1021/acsnano.5c08608,https://doi.org/10.1021/acsnano.5c08608,PC-DB source and prior protein-corona meta-analysis,YES,https://doi.org/10.1021/acsnano.5c08608,Crossref metadata checked
REF06,Determinants of protein corona adsorption and abundance revealed by interpretable machine learning across nanoparticle systems,Keyuan Li; Alexa Canchola; Fan Zhang; Wei-Chun Chou,Scientific Reports,2026,10.1038/s41598-026-55258-6,https://doi.org/10.1038/s41598-026-55258-6,Recent PC-DB-related interpretable protein-corona modelling,YES,https://doi.org/10.1038/s41598-026-55258-6,Crossref metadata checked
REF07,Machine learning provides predictive analysis into silver nanoparticle protein corona formation from physicochemical properties,Matthew R. Findlay; Daniel N. Freitas; Maryam Mobed-Miremadi; Korin E. Wheeler,Environmental Science: Nano,2018,10.1039/C7EN00466D,https://doi.org/10.1039/c7en00466d,Prior protein-corona random-forest prediction,YES,https://doi.org/10.1039/c7en00466d,Crossref metadata checked
REF08,Supervised learning model predicts protein adsorption to carbon nanotubes,Nicholas Ouassil; Rebecca L. Pinals; Jackson Travis Del Bonis-O’Donnell; Jeffrey W. Wang; Markita P. Landry,Science Advances,2022,10.1126/sciadv.abm0898,https://doi.org/10.1126/sciadv.abm0898,Prior supervised protein-adsorption prediction,YES,https://doi.org/10.1126/sciadv.abm0898,Crossref metadata checked
REF09,Machine Learning Enables Comprehensive Prediction of the Relative Protein Abundance of Multiple Proteins on the Protein Corona,Xiuhao Fu; Chao Yang; Yunyun Su; Chunling Liu; Haoye Qiu; Yanyan Yu; Gaoxing Su; Qingchen Zhang; Leyi Wei; Feifei Cui; Quan Zou; Zilong Zhang,Research,2024,10.34133/research.0487,https://doi.org/10.34133/research.0487,Protein-corona relative-abundance prediction,YES,https://doi.org/10.34133/research.0487,Crossref metadata checked
REF10,"Predicting the protein corona on nanoparticles using random forest models with nanoparticle, protein, and experimental features",Nicole Vijgen; Karsten M. Poulsen; Gustavo Sosa Macias; Christine K. Payne,Nanoscale Advances,2025,10.1039/d5na00425j,https://doi.org/10.1039/d5na00425j,Recent protein-corona random-forest prediction,YES,https://doi.org/10.1039/d5na00425j,Crossref metadata checked
