regime,target,LR,PREVALENCE,RF,BSS_LR,BSS_RF
GROUP_STUDY,APOB,0.20799631262474735,0.16708658999899706,0.19075130899865522,-0.2448414479342469,-0.14163146785029368
GROUP_STUDY,APOE,0.13206739249855945,0.1127235786722719,0.11308970080350435,-0.17160397189417664,-0.0032479640510429952
GROUP_STUDY,CLUS,0.18477130199791605,0.14549692479107418,0.1562128165383004,-0.2699326962630846,-0.07365029716341898
GROUP_STUDY,CO3,0.060465551087299944,0.05762774598375505,0.06108326675346271,-0.04924372895557738,-0.05996279588449904
LOSO,APOB,0.2253586883371249,0.1697296952953581,0.20656114932826042,-0.327750503204304,-0.21700064899550675
LOSO,APOE,0.1308606692583701,0.10931415551503333,0.10466067697883372,-0.19710634585082243,0.04256977071519019
LOSO,CLUS,0.1861845613809492,0.14749584409862482,0.1614257706641597,-0.26230377892176215,-0.09444284108927481
LOSO,CO3,0.057800844112867684,0.056827826059110326,0.057581804217272256,-0.017122211445239177,-0.013267763531507715
RANDOM,APOB,0.1552442297053655,0.16685014898091047,0.15495224850269249,0.06955893864303841,0.07130889933804752
RANDOM,APOE,0.10295048033487297,0.10793969934344563,0.09430895022226549,0.04622228002227258,0.12628114775277854
RANDOM,CLUS,0.13806203047206395,0.1445081597167977,0.11939127345774204,0.044607372049901284,0.173809467287376
RANDOM,CO3,0.03593279960113282,0.05511727550088746,0.036513543282854846,0.34806647689698933,0.33752996767289534
