model,target,regime,gap,ci_low,ci_high,n_studies,fraction_studies_positive,median_study_gap,q25,q75,min_gap,max_gap,top3_share_positive_gap,leave_one_study_mean_min,leave_one_study_mean_max
PREVALENCE,APOE,LOSO,0.001374456171587709,0.000427442735570199,0.0024766141854694265,51,0.5882352941176471,7.09774091519795e-05,-0.00015644654737140924,0.0004092550925148134,-0.001137981658868803,0.016941950586886745,0.5069167329702123,0.0010631062832817282,0.001424704928196839
PREVALENCE,APOE,GROUP_STUDY,0.004783879328826251,0.0008945694502639009,0.00928902602089361,51,0.5294117647058824,0.0011463199091023843,-0.0031563775617556864,0.002148087362706738,-0.0071346210495307205,0.06477296637629926,0.5187762304745555,0.003584097587876791,0.005022249336393391
PREVALENCE,APOB,LOSO,0.0028795463144476703,0.0006618556677941788,0.0056031929716520434,51,0.7450980392156863,0.0011172086372621473,-4.2815475415385745e-05,0.0028039427499829024,-0.015091435445801826,0.046121693572574785,0.5200319948912185,0.002014703369285128,0.0032389659496526602
PREVALENCE,APOB,GROUP_STUDY,0.0002364410180866185,-0.004915765299186818,0.005608570393846607,51,0.47058823529411764,-0.005258595295206815,-0.013847718441835345,0.011273408239700362,-0.05081681605857846,0.054418493736761664,0.3785691779622044,-0.0008472000362868825,0.00125750615961992
PREVALENCE,CO3,LOSO,0.0017105505582228728,5.215161493645801e-05,0.004936134567357596,50,0.66,6.537243510101485e-05,-5.53248538916587e-05,0.00018677459830251963,-0.0014476280011193887,0.07489806202148275,0.9212348397753631,0.00021692787529920189,0.001775003181882919
PREVALENCE,CO3,GROUP_STUDY,0.0025104704828675917,-0.0006504679221146785,0.0071182444170823506,50,0.68,0.0008257376184705784,-0.002494673858457465,0.0010951226883631595,-0.0171396348914975,0.08840695092179796,0.8303255728547925,0.0007574810861547271,0.0029114930415281037
PREVALENCE,CLUS,LOSO,0.00298768438182712,0.0007002280382093316,0.005947321052311665,51,0.6274509803921569,0.0005080763364616533,-0.0002763064449137261,0.0016959669558486434,-0.01798724773506888,0.056920101544379986,0.5078625687400806,0.001909036038576062,0.0034071830241650396
PREVALENCE,CLUS,GROUP_STUDY,0.0009887650742764805,-0.0034585537435563134,0.005838678652980162,51,0.2549019607843137,-0.006851828472835931,-0.008349955813659903,0.0005373900601776047,-0.009728569625047348,0.05313919398504674,0.4839320483303676,-5.424350393892458e-05,0.0012031117682629571
PREVALENCE,OVERALL_MACRO,LOSO,0.002238059356521343,0.0007501710299740125,0.00440416307705197,51,0.7254901960784313,0.0007900061949411598,-5.7245019093595504e-05,0.002061947249761889,-0.007568501609648683,0.04461276898946907,0.5140721415599248,0.00138309705044777,0.0024343405542798695
PREVALENCE,OVERALL_MACRO,GROUP_STUDY,0.0021298889760142355,-0.00035436315758146313,0.004986274724979112,51,0.5294117647058824,0.0003916981135094898,-0.004995268148051204,0.005614949015302474,-0.007146094549626769,0.041006933482949856,0.4202172588759133,0.0013435831388919587,0.0023155521850980612
